Slug,Admin URL,Title,Lead organisations,Supporting organisations,Document type,Content sub-type,State,History-mode applied,New lead organisations,New supporting organisations
/government/publications/long-term-plan-for-towns-guidance-for-local-authorities-and-town-boards,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1530969,Long-Term Plan for Towns: guidance for local authorities and Town Boards,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/make-things-right-creative-assets,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1511482,Make Things Right: campaign toolkit,"Department for Levelling Up, Housing and Communities ",,Publication,Promotional material,published,no,,
/guidance/determining-a-planning-application,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1511566,Determining a planning application,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/social-housing-quality-resident-panel,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1512675,Social Housing Quality Resident Panel,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/council-tax-requirement-return,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1531897,Council Tax requirement return,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/fees-for-planning-applications,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1513356,Fees for planning applications,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/planning-skills-delivery-fund-year-1-successful-local-authorities,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1532126,Planning Skills Delivery Fund (year 1): successful local authorities,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/planning-application-forms-templates-for-local-planning-authorities,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1532253,Planning application and fire statement forms: templates,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/developer-remediation-contract,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1534605,Developer remediation contract,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/responsible-actors-scheme,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1534607,​​Responsible Actors Scheme,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/continuing-to-live-with-your-host-or-rematching-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1514402,Continuing to live with your host or rematching: Homes for Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/general-fund-revenue-account-budget,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1536284,General fund revenue account budget,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/leaseholder-protections-on-building-safety-costs-in-england-frequently-asked-questions,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1516550,Leaseholder protections on building safety costs in England: frequently asked questions,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/leaseholder-and-resident-information-on-the-building-safety-fund,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1516559,Building Safety Fund: Information for leaseholders and residents,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/information-for-leaseholders-and-other-residents-on-fire-safety-and-remediation-of-historic-building-safety-defects,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1516569,Information for residents on fire safety and remediation of buildings,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/single-homelessness-accommodation-programme-funding-allocations,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1537299,Single Homelessness Accommodation Programme: funding allocations,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/cambridge-delivery-group-establishing-a-growth-company,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1538338,Cambridge Delivery Group: Establishing a Growth Company,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/green-belt,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1517356,Green Belt,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/business-rates-relief-202425-retail-hospitality-and-leisure-scheme,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1517440,"Business Rates Relief: 2024/25 Retail, Hospitality and Leisure Scheme","Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/planning-policy-for-traveller-sites,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1517590,Planning policy for traveller sites,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Policy paper,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/homelessness-prevention-grant-2023-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1538539,Homelessness Prevention Grant: 2023 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/uk-shared-prosperity-fund-evaluation,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1538547,UK Shared Prosperity Fund: evaluation,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/homelessness-prevention-grant-homes-for-ukraine-scheme-support,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1538548,Homelessness Prevention Grant: Homes for Ukraine scheme support,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/single-homelessness-accommodation-programme,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1538826,Single Homelessness Accommodation Programme,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/hong-kong-british-national-overseas-welcome-programme-successful-grant-recipients,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1540350,Hong Kong British National (Overseas) Welcome Programme: VCSE grant recipients Year 1 (2021/2022),"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/english-housing-survey-quality-report,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1540524,English Housing Survey: quality report,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,draft,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/local-authority-housing-fund-round-3,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1541776,Local Authority Housing Fund: Round 3,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/hong-kong-bno-welcome-programme-vcse-grant-recipients-year-2-20222023,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1541942,Hong Kong BN(O) Welcome Programme: VCSE Grant recipients Year 2 (2022/2023),"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/hong-kong-bno-welcome-programme-vcse-grant-recipients-year-3-202324,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1541988,Hong Kong BN(O) Welcome Programme: VCSE Grant recipients Year 3 (2023/24),"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/new-definition-of-extremism-2024,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1543324,New definition of extremism (2024),"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/community-engagement-principles,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1543327,Community engagement principles,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/european-regional-development-fund-programme-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1543356,European Regional Development Fund: programme guidance,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/community-ownership-fund-privacy-notice,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1544425,Community Ownership Fund: privacy notice,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/local-growth-programmes-evaluation-foreword,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1519242,Local growth programmes evaluation: foreword,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/application-to-vote-by-proxy-for-anonymous-electors,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1545161,Application to vote by proxy for anonymous electors,"Department for Levelling Up, Housing and Communities ",,Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/the-case-for-cambridge,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1546593,The Case for Cambridge,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/dluhc-local-growth-and-place-fund-register,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1521721,DLUHC local growth and place fund register,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/tell-us-about-life-safety-fire-risks-on-the-external-wall-system-of-your-building,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1521968,Tell us about life-safety fire risks on the external wall system of your building,"Department for Levelling Up, Housing and Communities  | Homes England",,Detailed Guide,N/A,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/homes-england",/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/first-homes,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1523305,First Homes,"Department for Levelling Up, Housing and Communities ",,Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/election-expenses-privacy-notice,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1547845,Election expenses privacy notice,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/partnerships-for-people-and-place-guidance-and-advice-for-officials-working-on-place-based-policymaking,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1548241,Partnerships for People and Place: Guidance and advice for officials working on place-based policymaking,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/fareham-borough-council-notice-of-de-designation,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1548413,Fareham Borough Council: Notice of de-designation,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/long-term-plan-for-towns-data-packs-for-55-towns,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1548473,Long-Term Plan for Towns: data packs for 55 towns,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/non-determination-applications-for-higher-risk-buildings-procedures-applying-to-the-secretary-of-state,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1524223,Non-determination applications for higher-risk buildings procedures: applying to the Secretary of State,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/fareham-borough-council-notice-of-designation,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1548532,Fareham Borough Council: Notice of Designation,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/long-term-plan-for-towns-policy-toolkit-for-wales,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1548564,Long-Term Plan for Towns: policy toolkit for Wales,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/building-safety-fund-leaseholder-and-resident-service,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1525320,Building Safety Fund Leaseholder and Resident Service,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/housing-delivery-test,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1525345,Housing Delivery Test,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/devolution-and-mayors-what-does-it-mean,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1548615,Devolution and mayors: what does it mean?,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/fire-safety-approved-document-b,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1549392,Fire safety: Approved Document B,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Statutory guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/long-term-plan-for-towns-technical-qa,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1549686,Long-Term Plan for Towns: Technical Q&A,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/completing-local-authority-housing-statistics-2023-to-2024-guidance-notes-and-bulk-upload,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1549885,Completing local authority housing statistics 2023 to 2024: guidance notes and bulk upload,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/your-right-to-buy-your-home-summary--2,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1549902,Right to Buy: summary booklet,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/your-right-to-buy-your-home-a-guide--2,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1549915,Your right to buy your home: a guide,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/rough-sleeping-winter-pressures-2023-24-funding-allocations,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1550369,Rough sleeping winter pressures: 2023-24 funding allocations,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/uk-shared-prosperity-fund-northern-ireland-supporting-documents,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1550408,UK Shared Prosperity Fund: Northern Ireland Partnership Group minutes,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/right-to-buy-a-guide-for-local-authorities,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1550774,Right to Buy: a guide for local authorities,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/notice-claiming-the-right-to-buy--2,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1550793,Right to Buy: application form (RTB1),"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/capital-payments-and-receipts-return,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1550866,Capital payments and receipts return,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/developer-remediation-contract-resident-factsheet,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1527162,Developer remediation contract: resident factsheet,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/national-non-domestic-rates-return-nndr3,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1550871,National non-domestic rates return (NNDR3),"Department for Levelling Up, Housing and Communities ",,Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/capital-finance-guidance-on-minimum-revenue-provision-third-edition,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1551216,Capital finance: guidance on minimum revenue provision,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Statutory guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/rough-sleeping-drug-and-alcohol-treatment-grant-2022-to-2025-funding-allocations,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1551626,Rough Sleeping Drug and Alcohol Treatment Grant 2022 to 2025 funding allocations,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/guidance-on-accessing-and-using-comparable-datasets-for-uk-government-officials,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1551900,​​Guidance on accessing and using comparable datasets for UK government officials​,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/planning-circulars,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1527382,Planning circulars,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/social-care-grant-determination-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1552390,Social Care Grant Determination 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/improved-better-care-fund-grant-determination-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1552479,Improved Better Care Fund Grant Determination 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/move-to-the-uk-if-youre-from-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1527526,Move to the UK if you’re coming from Ukraine,"Home Office | Department for Work and Pensions | HM Revenue & Customs | Department for Levelling Up, Housing and Communities ",Department for Education | Department for Transport | Driver and Vehicle Licensing Agency | Driver and Vehicle Standards Agency,Detailed Guide,N/A,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/home-office,/government/organisations/department-for-work-pensions,/government/organisations/hm-revenue-customs","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/department-for-education,/government/organisations/department-for-transport,/government/organisations/driver-and-vehicle-licensing-agency,/government/organisations/driver-and-vehicle-standards-agency"
/government/collections/rents-lettings-and-tenancies,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1528660,Social housing lettings,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/market-sustainability-and-improvement-fund-grant-determination-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1552507,Market Sustainability and Improvement Fund Grant Determination 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/what-are-my-building-owners-legal-obligations,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1529703,What are my building owner’s legal obligations?,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/discharge-fund-grant-determination-2024-to-2025,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1552511,Discharge Fund Grant Determination 2024 to 2025,"Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/accommodation-checks-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1530488,Accommodation checks: Homes for Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/disclosure-and-barring-service-dbs-checks-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1530489,Disclosure and Barring Service (DBS) checks: Homes for Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/statistical-data-sets/local-authority-housing-statistics-data-returns-for-2018-to-2019,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1530490,Local authority housing statistics data returns for 2018 to 2019,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/statistical-data-sets/local-authority-housing-statistics-data-returns-for-2019-to-2020,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1530492,Local authority housing statistics data returns for 2019 to 2020,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/statistical-data-sets/local-authority-housing-statistics-data-returns-for-2020-to-2021,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1530494,Local authority housing statistics data returns for 2020 to 2021,"Department for Levelling Up, Housing and Communities ",,Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
