"What we're doing",Policy areas,Lead org,Other orgs,Ministers,URL for info on current policies
"Creating HealthWatch, a new body to act as the voice for patients and the public",NHS,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Strengthening the role of the Care Quality Commission,Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Strengthening the language competence checks of migrant doctors in the NHS,NHS; Borders and immigration,DH,,Andrew Lansley; Simon Burns; Lord Howe,http://www.dh.gov.uk/health/policy/
Reviewing the rules on charging non-residents for NHS healthcare,NHS; Borders and immigration,DH,,Andrew Lansley; Simon Burns; Lord Howe,http://www.dh.gov.uk/health/policy/
Improving the UK competitiveness as a location for clinical trials,NHS; Science and innovation,DH,,Andrew Lansley; Simon Burns; Lord Howe,http://www.dh.gov.uk/health/policy/
Supporting integration of health and social care,Public health; Social care; NHS,DH,,Andrew Lansley; Simon Burns; Lord Howe,http://www.dh.gov.uk/health/policy/
Radically increasing data transparency for the benefit of patients and the public,NHS,DH,,Andrew Lansley; Simon Burns; Lord Howe,http://www.dh.gov.uk/health/policy/
Scrapping process targets and introducing national health outcome measures,NHS,DH,,Andrew Lansley; Simon Burns; Lord Howe,http://www.dh.gov.uk/health/policy/
Reforming Payment by Results to provide incentives for high quality care services,NHS; Social care,DH,,Andrew Lansley; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Devising a palliative care funding system which is responsive to the wishes of patients,Social care,DH,,Andrew Lansley; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Introducing a value-based pricing system to align treatments with outcomes,NHS,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
"Introducing a new dentistry contract, with particular focus on the oral health of children",NHS; Children and young people,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Ensuring greater access to talking therapies to reduce long term costs for the NHS,NHS; Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Improving outcomes from drug dependency and for offenders in custody and the community,Social care; Prison and probation,DH,MOJ,Andrew Lansley; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
"Promoting safe, effective and respectful care by health and social care professionals",NHS; Social care; Public safety and emergencies,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Supporting the NHS to release up to £20 billion efficiency savings over four years,NHS,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
 Improving the effectiveness of commissioning and resource allocation,NHS,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Enhancing commissioning to give Clinicians greater autonomy,NHS,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Creating a greater role for local government in health and wellbeing,NHS; Local government,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Empowering health professionals and reducing political interference in healthcare,NHS; Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Reducing healthcare bureaucracy,NHS; Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Developing Monitor into an economic regulator for health and social care,NHS; Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Delivering changes to the NHS Pension Scheme,NHS; Pensions and ageing society,DH,Treasury,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Establishing Public Health England,Public heatlh,DH,,Andrew Lansley; Anne Milton; Lord Howe,http://www.dh.gov.uk/health/policy/
 Incorporating the nutrition functions of the Food Standards Agency into the Department of Health,Public health; Government efficiency and transparency,DH,FSA,Andrew Lansley; Anne Milton; Lord Howe,http://www.dh.gov.uk/health/policy/
Giving local communities control over health improvement budgets,NHS,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Establishing the Public Health Responsibility Deal,Public health,DH,,Andrew Lansley; Anne Milton; Lord Howe,http://www.dh.gov.uk/health/policy/
Ensuring hospitals share knife and gun crime information with the police ,NHS,DH,Home Office,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Prioritising dementia research within health research and development,Pubic health; Science and innovation,DH,,Andrew Lansley; Anne Milton; Lord Howe,http://www.dh.gov.uk/health/policy/
"Recruiting 4,200 extra Sure Start health visitors",Social care,DH,,Andrew Lansley; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Reforming funding of the social care system,Social care,DH,,Andrew Lansley; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Extending the roll-out of health and social care personal budgets ,NHS; Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Reviewing UK bilateral relationships and overseas footprint,Foreign affairs,FCO,,William Hague; David Lidington; Jeremy Browne; Alistair Burt; Henry Bellingham; Lord Howell; Lord Green,http://www.fco.gov.uk/en/global-issues/
Re-energising key bilateral relationships,Foreign affairs,FCO,,William Hague; David Lidington; Jeremy Browne; Alistair Burt; Henry Bellingham; Lord Howell; Lord Green,http://www.fco.gov.uk/en/global-issues/
"Reinvigorating the Commonwealth as a focus for development, conflict prevention, human rights and trade",Foreign affairs; National security and intelligence; International aid and development; Trade and investment,FCO,UKTI,William Hague; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Playing a central role in international prevention of the proliferation of weapons of mass destruction,Foreign affairs; National security and intelligence,FCO,MOD,William Hague; Alistair Burt; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Supporting the Middle East Peace Process,Foreign affairs,FCO,MOD,William Hague; Alistair Burt; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Acting for long term security and stability in the Middle East and North Africa region,Foreign affairs; National security and intelligence,FCO,MOD,William Hague; Alistair Burt; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Driving international action to tackle climate change,Foreign affairs; Environment and climate change,FCO,DECC; DFID,William Hague; Henry Bellingham; Lord Howell; Chris Huhne; Andrew Mitchell,http://www.fco.gov.uk/en/global-issues/
Developing a new strategy for the Overseas Territories ,Foreign affairs,FCO,,William Hague; Henry Bellingham; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Supporting reform of the UN Security Council,Foreign affairs; National security and intelligence,FCO,,William Hague; Henry Bellingham; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Cementing the National Security Council's role in coordinating Afghanistan policy,Foreign affairs; National security and intelligence,FCO,,William Hague; Henry Bellingham; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Restoring the Government's accountability on Afghanistan to Parliament and to the British people,Foreign affairs; National security and intelligence,FCO,,William Hague; Alistair Burt; Henry Bellingham; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Helping to build a stable and increasingly prosperous Pakistan,Foreign affairs; National security and intelligence; Counter terrorism,FCO,,William Hague; Alistair Burt; Henry Bellingham; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Establishing the National Security Council (NSC) to drive cross-government decision-making,Foreign affairs; National security and intelligence,FCO,MOD,William Hague; Alistair Burt; Henry Bellingham; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Implementing the international aspects of the Strategic Defence and Security Review,Foreign affairs; National security and intelligence,FCO,MOD,William Hague; Alistair Burt; Henry Bellingham; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Supporting further enlargement of the EU,Foreign affairs; Europe,FCO,,William Hague; David Lidington; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Developing effective and democratic engagement with the EU,Foreign affairs; Europe,FCO,,William Hague; David Lidington; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Taking an active and activist approach to foreign policy in the EU,Foreign affairs; Europe,FCO,,William Hague; David Lidington; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Advancing Britain's interests by proactive engagement on key EU priorities,Foreign affairs; Europe,FCO,,William Hague; David Lidington; Lord Howell,http://www.fco.gov.uk/en/global-issues/
 Developing a long term programme to enhance UK 'soft power',Foreign affairs,FCO,DFID,William Hague; David Lidington; Jeremy Browne; Alistair Burt; Henry Bellingham; Lord Howell; Lord Green,http://www.fco.gov.uk/en/global-issues/
Assessing the merits of a Quadrennial Diplomacy and Development Review,Foreign affairs; International aid and development,FCO,DFID,William Hague; Jeremy Browne; Lord Howell,http://www.fco.gov.uk/en/global-issues/
Ensuring the successful implementation of detainee measures,Foreign affairs; Borders and immigration,FCO,Home office,William Hague; Jeremy Browne; Lord Howell,http://www.fco.gov.uk/en/global-issues/
"Maximising revenue flows, improving customer experience and reducing costs of tax collection ",Tax and revenue,HMRC,,David Gauke,http://hmrc.gov.uk/
Tackling tax avoidance and evasion through targeted campaigns and interventions,Tax and revenue,HMRC,,David Gauke,http://hmrc.gov.uk/
Tackling off-shore tax avoidance and evasion,Tax and revenue,HMRC,,David Gauke,http://hmrc.gov.uk/
Preventing tax avoidance before it happens,Tax and revenue,HMRC,,David Gauke,http://hmrc.gov.uk/
Tackling organised criminals and tax fraud,Tax and revenue,HMRC,,David Gauke,http://hmrc.gov.uk/
Improving HMRC's debt collection capability,Tax and revenue,HMRC,,David Gauke,http://hmrc.gov.uk/
"Tackling error and fraud in tax credits, reducing losses to no more than 5% by next year",Tax and revenue; Welfare,HMRC,DWP,David Gauke,http://hmrc.gov.uk/
"Creating a 'one-click' online registration process for new businesses",Tax and revenue; Business and enterprise,HMRC,BIS; CH,David Gauke,http://hmrc.gov.uk/
Delivering real-time information for the PAYE system by April 2014,Tax and revenue; Welfare,HMRC,,David Gauke,http://hmrc.gov.uk/
 Supporting tax collection and the introduction of Universal Credits,Tax and revenue; Welfare,HMRC,,David Gauke,http://hmrc.gov.uk/
Reducing complexity in the tax system,Tax and revenue,HMRC,Treasury,David Gauke,http://hmrc.gov.uk/
Implementing a cross-government deficit reduction plan,Tax and revenue; Budget,HMRC,,David Gauke,http://hmrc.gov.uk/
Implementing reforms to improve the sustainability of the tax yield,Tax and revenue,Treasury,,George Osborne; Danny Alexander; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Increasing transparency in the reporting of public spending,Government efficiency and transparency,Treasury,,George Osborne; Danny ALexander,http://www.hm-treasury.gov.uk/
Increasing fairness in taxation,Tax and revenue,Treasury,HMRC,George Osborne; Danny Alexander; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Creating the most competitive corporate tax regime in the G20,Tax and revenue; Business and enterprise,Treasury,Treasury; BIS,George Osborne; Danny Alexander; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Setting out a cross-government framework for growth domestically and in the EU,Economic growth and development; Europe,Treasury,BIS,George Osborne; Vince Cable; Danny Alexander,http://www.hm-treasury.gov.uk/
Increasing the proportion of revenue accounted for by environmental taxes,Tax and revenue; Environment and climate change,Treasury,Defra,George Osborne; Danny Alexander; Chloe Smith; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Reviewing the taxation of non-domiciled individuals,Tax and revenue; Foreign affairs,Treasury,,George Osborne; Danny Alexander; Chloe Smith; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Delivering the local government resource review,Tax and revenue; Business and enterprise,Treasury,DCLG,George Osborne; Danny Alexander; Chloe Smith; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Promoting growth and poverty reduction in the developing world ,Tax and revenue; International aid and development,Treasury,DFID,George Osborne; Danny Alexander; Chloe Smith; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Considering with the Bank of England how to include housing costs in the CPI inflation target,Tax and revenue,Treasury,,George Osborne; Danny Alexander; Mark Hoban; Lord Sassoon,http://www.hm-treasury.gov.uk/
Reviewing alcohol taxation to tackle problem drinking,Tax and revenue; Alcohol and drugs; Public health,Treasury,Home office,George Osborne; Danny Alexander; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Delivering value for money from the EU Budget and reform to improve the effectiveness of international institutions,Tax and revenue; Europe,Treasury,,George Osborne; Danny Alexander; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Supporting reform in the funding of devolved administrations to encourage transparency and accountability,Constitutional reform; Tax and revenue,Treasury,,George Osborne; Danny Alexander; David Gauke; Lord Sassoon,http://www.hm-treasury.gov.uk/
Introducing measures to improve fairness in public sector pay,Tax and revenue; Government efficiency and transparency,Treasury,,George Osborne; Danny Alexander; Lord Sassoon,http://www.hm-treasury.gov.uk/
Promoting access to finance for SMEs,Business and enterprise; Financial services,Treasury,BIS,George Osborne; Mark Hoban; Chloe Smith; Lord Sassoon,http://www.hm-treasury.gov.uk/
Consulting on changes to Money Laundering Regulations,Business and enterprise; Financial services,Treasury,,George Osborne; Mark Hoban; Chloe Smith; Lord Sassoon,http://www.hm-treasury.gov.uk/
Establishing an independent Banking Commission into banking structural reform,Financial services,Treasury,BIS,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Giving the Bank of England control of macro-prudential regulation and oversight of micro-prudential regulation,Financial services,Treasury,,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Withdrawing exceptional public support from the financial sector as conditions normalise,Financial services,Treasury,,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Tackling unacceptable bonuses in the financial services sector,Financial services,Treasury,,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Introducing a Bank Levy to ensure that the banking sector makes a fair contribution,Financial services,Treasury,,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Securing reform to global financial regulation,Financial services; Foreign affairs; Europe,Treasury,,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Establishing the Economic Crime Agency,Financial services; Crime and policing,Treasury,Home Office,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Delivering a fair and transparent payment for Equitable Life policyholders,Financial services,Treasury,,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Delivering a national financial healthcheck and free national financial advice service,Financial services,Treasury,,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Introducing stronger consumer protections in financial services,Financial services,Treasury,BIS,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Fostering diversity and competition in financial services,Financial services,Treasury,BIS,George Osborne; Mark Hoban;,http://www.hm-treasury.gov.uk/
Making the police more accountable through oversight by a directly elected Police and Crime Commissioner,Crime and policing,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Making the actions of the police more transparent,Crime and policing,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Empowering local communities to take a role in policing their neighbourhoods,Crime and policing; Community and society,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Reducing bureaucracy for front-line police officers,Crime and policing,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Ending unnecessary interference from the centre in local policing,Crime and policing; Local government,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Simplifying institutional structures for the police,Crime and policing,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Improving the efficiency of local policing,Crime and policing; Local government,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Simplifying and improving anti-social behaviour powers ,Crime and policing; Community and society,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Overhauling alcohol licensing to empower police and local authorities,Alcohol and drugs; Community and society,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
"Reducing reoffending and ensuring more effective rehabilitation, especially for drug users",Alcohol and drugs; Law and the justice system,Home Office,MOJ,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Conducting a full review of alcohol and drugs sentencing policy,Alcohol and drugs; Crime and policing; Law and the justice system,Home Office,MOJ,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Developing a comprehensive approach to drug misuse,Crime and policing; Alcohol and drugs; Law and the justice system,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Supporting collaboration between the police and other public services,Crime and policing; Community and society; Law and the justice system,Home Office,MOJ,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
"Helping police, voluntary organisations and local communities to reduce violence against women",Crime and policing; Community and society; Social equality,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
Establishing a Border Police Command to secure our borders,Crime and policing; Borders and immigration,Home Office,,Theresa May; Lord Henley; Nick Herbert; Damian Green,http://homeoffice.gov.uk/
Strengthening the system of granting student visas ,Borders and immigration; Foreign affairs,Home Office,,Theresa May; Damian Green; Lord Henley,http://homeoffice.gov.uk/
Strengthening the system of granting spouse visas,Borders and immigration; Foreign affairs; Community and society,Home Office,,Theresa May; Damian Green; Lord Henley,http://homeoffice.gov.uk/
Setting an annual limit on the number of non-EU economic migrants to the UK,Borders and immigration,Home Office,,Theresa May; Damian Green; Lord Henley,http://homeoffice.gov.uk/
Speeding up the processing of asylum applications,Borders and immigration,Home Office,,Theresa May; Damian Green; Lord Henley,http://homeoffice.gov.uk/
Ending the detention of children for immigration purposes,Borders and immigration,Home Office,,Theresa May; Damian Green; Lord Henley,http://homeoffice.gov.uk/
"Protecting the UK against terrorist attack, serious cross-border crime and illegal immigration",Borders and immigration; National security and intelligence; Counter terrorism,Home Office,,Theresa May; Damian Green; Lord Henley,http://homeoffice.gov.uk/
Stopping the removal of asylum seekers whose sexual orientation or gender identification puts them at risk ,Borders and immigration; Social equality,Home Office,,Theresa May; Damian Green; Lord Henley; Lynne Featherstone,http://homeoffice.gov.uk/
 Scrapping ID cards and the National Identity Register,"Borders and immigration; Freedom, rights and citizenship",Home Office,,Theresa May; Damian Green; Lord Henley,http://homeoffice.gov.uk/
Reviewing counter-terrorism and security legislation,Counter terrorism,Home Office,,Theresa May; Damian Green; James Brokenshire; Lord Henley,http://homeoffice.gov.uk/
Ending the storage of internet and email records without good reason,"Freedom, rights and citizenship",Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Introducing a Freedom Bill,"Freedom, rights and citizenship",Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Reviewing the operation of the Extradition Act and the US/UK extradition treaty,"Freedom, rights and citizenship",Home Office,,Theresa May; Damian Green; Lord Henley,http://homeoffice.gov.uk/
Changing security and counter-terrorism policies and systems,"Freedom, rights and citizenship; Law and the justice system",Home Office,,Theresa May; Damian Green; James Brokenshire; Lord Henley,http://homeoffice.gov.uk/
Extending the UK's ability to deport foreign nationals who threaten our national security,National security and intelligence; Counter terrorism; Borders and immigration,Home Office,,Theresa May; Damian Green; James Brokenshire; Lord Henley,http://homeoffice.gov.uk/
"Reviewing the 'Prevent' strand of the counter-terrorism strategy",Counter terrorism,Home Office,,Theresa May; Damian Green; James Brokenshire; Lord Henley,http://homeoffice.gov.uk/
"Revising the 'CONTEST' counter-terrorism strategy",Counter terrorism; National security and intelligence,Home Office,,Theresa May; Damian Green; James Brokenshire; Lord Henley,http://homeoffice.gov.uk/
Changing pre-departure checks to better identify people who pose a terrorist threat,Counter terrorism; Borders and immigration,Home Office,,Theresa May; Damian Green; James Brokenshire; Lord Henley,http://homeoffice.gov.uk/
Strengthening the UK's protection against and ability to respond to a terrorist attack,Counter terrorism; National security and intelligence,Home Office,,Theresa May; Damian Green; James Brokenshire; Lord Henley,http://homeoffice.gov.uk/
Policing a safe and successful Olympic and Paralympic Games in 2012,Crime and policing; Public safety and emergencies,Home Office,,Theresa May; Lord Henley; Nick Herbert,http://homeoffice.gov.uk/
 Promote transparency on gender equality including equal pay,Social equality,Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Promoting gender equality on the boards of listed companies,Social equality; Business and enterprise; Employment,Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Promoting equality of opportunity to allow greater participation in society,Social equality,Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Working internationally to encourage mutual recognition of same-sex partnerships,Social equality; Foreign affairs,Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
"Tackling hatred and violence against lesbian, gay, bisexual and transgender people",Social equality,Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Streamlining and reforming the Equality and Human Rights Commission,Social equality,Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Strengthening women's voices in government following abolition of the Women's National Commission,Social equality,Home Office,GEO,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Ensuring a proportionate and business friendly framework on discrimination law,Social equality; Business and enterprise; Employment,Home Office,,Theresa May; Lynne Featherstone,http://homeoffice.gov.uk/
Conducting the Strategic Defence and Security Review including Armed Forces capability reviews,Defence and armed forces,MOD,,Philip Hammond; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Publishing the National Security Strategy White Paper,Defence and armed forces,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Taking forward restructuring activities,Defence and armed forces,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Building constructive bilateral relationships including with the US and France,Defence and armed forces; Foreign affairs; Europe,MOD,FCO,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
"Building constructive multilateral relationships, in particular with NATO",Defence and armed forces; Foreign affairs,MOD,FCO,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Developing the Queen Elizabeth Class Carriers,Defence and armed forces,MOD,,Philip Hammond; Peter Luff; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
"Restructuring activities for Interim Force 2015 in the Royal Navy, the Army and the Royal Air Force",Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
 Introducing an Armed Forces Bill,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Issuing a revised Service Personnel Strategy to include New Employment Model principles,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Adjusting the pay and allowances provision afforded to Service personnel,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Developing rest and recuperation arrangements for Service personnel,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Changing the rules so that Service Personnel only have to register once to be able to vote,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Conducting the Future Reserves 2020 Study,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Improving the health and social care provided to serving and ex-Service personnel,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Improving education provision to Service personnel and their dependants,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Conducting a Youth Engagement Review,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Publishing the Armed forces Continuous Attitude Survey,Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
" Establishing the Defence Reform Unit, led by Lord Levene",Defence and armed forces,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Conducting work-stream analysis to review effectiveness and efficiency,Defence and armed forces,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Completing the Defence Reform Unit's review,Defence and armed forces,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Implementing Defence Reform Review endorsed outcomes,Defence and armed forces,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Transforming the Ministry of Defence,Defence and armed forces,MOD,,Philip Hammond; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Defining future programmes for further efficiencies in Defence,Defence and armed forces,MOD,,Philip Hammond; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Publishing a Logistics sub-Strategy,Defence and armed forces,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
"Publishing a White Paper on equipment, support, and technology for UK defence and security",Defence and armed forces; National security and intelligence,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Reviewing Single Source Pricing Regulations (The Yellow Book),Defence and armed forces,MOD,,Philip Hammond; Nick Harvey; Andrew Robathan; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Defining and delivering a long-term sustainable defence development strategy,Defence and armed forces,MOD,,Philip Hammond; Gerald Howarth; Lord Astor,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/
Developing an overall strategy for the 'rehabilitation revolution' for adults and youths,Law and the justice system; Prison and probation,MOJ,,Kenneth Clarke; Lord McNally; Crispin Blunt; ,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Introducing payment by results schemes in the rehabilitation of offenders,Law and the justice system; Prison and probation,MOJ,,Kenneth Clarke; Lord McNally; Crispin Blunt; ,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Establishing payment-by-results pilots to help sustained recovery from drug dependency,Law and the justice system; Alcohol and drugs,MOJ,"DH, Home office",Kenneth Clarke; Nick Herbert; Lord McNally; Crispin Blunt; ,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Piloting and rolling out drugs recovery prison wings,Law and the justice system; Prison and probation; Alcohol and drugs,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally; Crispin Blunt; ,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Developing alternative forms of treatment based accommodation for drugs and mentally ill offenders,Law and the justice system; Prison and probation; Alcohol and drugs,MOJ,"DH, Home office",Kenneth Clarke; Nick Herbert; Lord McNally; Crispin Blunt; ,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Rolling out liaison and diversion services for mentally ill offenders,Law and the justice system; Social care,MOJ,DH,Kenneth Clarke; Nick Herbert; Lord McNally; Crispin Blunt; Jonathan Djanogly,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
