content_id,publishing_app,title,url
242f5e95-451b-4f27-b1d5-1e2b3b87d280,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Mehefin 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-june-2017/2270063
ed5a87a9-54b3-4b14-a304-57baa7abbae8,whitehall,UK House Price Index England: June 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-june-2017/uk-house-price-index-england-june-2017
bafb701c-fd04-44e6-8111-204793210715,whitehall,UK House Price Index summary: August 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-august-2017/uk-house-price-index-summary-august-2017
993f8cd3-fab0-483b-b699-cc98f48e22f2,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Awst 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-august-2017/2342020
f2cd1525-661b-4ef6-b602-fc3fe079d61f,whitehall,UK House Price Index England: September 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-september-2017/uk-house-price-index-england-september-2017
6ba1edba-6ccc-479d-8ffd-7be898b09049,whitehall,UK House Price Index Wales: August 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-august-2017/uk-house-price-index-wales-august-2017
d03b47a7-b988-40d1-a78a-02f0f6c8a544,whitehall,UK House Price Index England: August 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-august-2017/uk-house-price-index-england-august-2017
8ace5540-a3ce-4403-acfd-b9a5b1e72c7e,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Awst 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-august-2017/2379787
fa762fb3-5dc5-415a-bf00-f10a39e18ed6,whitehall,UK House Price Index summary: September 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-september-2017/uk-house-price-index-summary-september-2017
f653c219-7bfd-4c11-b7a6-987a57fc20bd,whitehall,UK House Price Index summary: December 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-december-2017/uk-house-price-index-summary-december-2017
3784a400-579f-472d-ab9e-088a5432fca4,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Medi 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-september-2017/2422377
54e469c6-9204-4cd2-9d6c-8b17b6e1a5e8,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Rhagfyr 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-december-2017/2522030
af0e7a30-e5ce-4fb3-a08b-7d905fe4339f,whitehall,UK House Price Index Wales: January 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-january-2017/uk-house-price-index-wales-january-2017
9f0e1090-f79b-41e7-b352-f04cf2c3587a,whitehall,UK House Price Index Scotland: February 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-february-2017/uk-house-price-index-scotland-february-2017
c1c00b9a-e57d-4378-b22f-4b3850859554,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Tachwedd 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-november-2017/2495800
bbb17ef1-f2a8-4cfe-b3f0-eba41fce0169,whitehall,UK House Price Index England: March 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-march-2017/uk-house-price-index-england-march-2017
6222104a-9948-4040-a2ea-5e7f4c91f049,whitehall,UK House Price Index Scotland: April 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-april-2017/uk-house-price-index-scotland-april-2017
14ef34e7-8cc0-4479-9864-5fd72d80465d,whitehall,UK House Price Index Scotland: November 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-november-2017/uk-house-price-index-scotland-november-2017
8f802734-dd99-4ded-a279-2b753bb3bd78,whitehall,UK House Price Index Wales: September 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-september-2017/uk-house-price-index-wales-september-2017
2e4e40e0-c5e4-476b-ae28-75f89a5293dd,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Mai 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-may-2017/2553775
a341369e-a1f1-4b27-9a7c-0e12450711a7,whitehall,UK House Price Index England: April 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-april-2017/uk-house-price-index-england-april-2017
5c9431c7-99ba-491b-a0c2-d3f0d38ffc67,whitehall,UK House Price Index summary: May 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-may-2017/uk-house-price-index-summary-may-2017
cce3c153-b640-4427-b9fa-c6088a03b6eb,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Mai 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-may-2017/2183102
ec3e0932-d84b-4245-95cf-42c507a2046b,whitehall,UK House Price Index England: May 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-may-2017/uk-house-price-index-england-may-2017
b3e62c87-0da9-47be-ac7d-aec5be545c82,whitehall,UK House Price Index summary: October 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-october-2017/uk-house-price-index-summary-october-2017
b6ee124b-53d7-40d6-a68f-d02da5f5654a,whitehall,UK House Price Index summary: March 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-march-2017/uk-house-price-index-summary-march-2017
b1249f83-9c5e-42e3-842a-4e134e84ab07,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Mawrth 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-march-2017/2213624
6dcc1600-bbd1-49af-9922-4623da274128,whitehall,UK House Price Index summary: December 2016,https://www.gov.uk/government/statistics/uk-house-price-index-summary-december-2016/uk-house-price-index-summary-december-2016
2fc9e608-a47f-49e9-bc63-1ed553bcab37,whitehall,UK House Price Index England: October 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-october-2017/uk-house-price-index-england-october-2017
95f543e2-52b0-4cde-8073-dfba312ded04,whitehall,UK House Price Index summary: January 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-january-2017/uk-house-price-index-summary-january-2017
