attachment_data_id,attachment_content_id,asset_manager_id
590101,ce37eb3e-d97a-469d-9824-626a31327f64,5a81accde5274a2e87dbee7c
590101,ce37eb3e-d97a-469d-9824-626a31327f64,5a81accaed915d74e33ff7c3
660507,f2788de5-9c0e-4751-83d2-27d2cd64a22a,5a82bcc840f0b62305b94152
660507,f2788de5-9c0e-4751-83d2-27d2cd64a22a,5a82bccb40f0b6230269c700
665652,47aecafb-3d1e-4d16-9091-3c0d1cff5fed,5a82ae5ced915d74e6237181
665652,47aecafb-3d1e-4d16-9091-3c0d1cff5fed,5a82ae5ced915d74e3403067
489729,93d48c20-e267-4011-ac82-ee786d774f25,5a81b859e5274a2e87dbf268
489729,93d48c20-e267-4011-ac82-ee786d774f25,5a81b85ae5274a2e8ab557ef
484932,13b1560f-ec8c-4bc2-a15d-86ef47667777,5a7f8f5ee5274a2e8ab4ce9a
484932,13b1560f-ec8c-4bc2-a15d-86ef47667777,5a7f8f5f40f0b62305b87e28
484933,fb39d4ca-9d7b-4a7b-8e1a-60fbb13a1892,5a81a673ed915d74e6233683
484933,fb39d4ca-9d7b-4a7b-8e1a-60fbb13a1892,5a81a66fe5274a2e87dbec48
484934,1b1ae546-3fd9-4372-804c-7859abd24bb7,5a8171c3e5274a2e8ab54064
484934,1b1ae546-3fd9-4372-804c-7859abd24bb7,5a8171c340f0b62302697578
613695,db38e5cb-e0d3-4657-9441-2fbfcaefa08c,5a81df94e5274a2e87dbfef9
484939,6b72f336-67f6-4b9c-b888-01aec9a180fa,5a81863f40f0b62305b8f6ac
484939,6b72f336-67f6-4b9c-b888-01aec9a180fa,5a81863c40f0b62302697c62
489717,773d5591-8607-4ca6-b0d2-cc04101592fa,5a7f2e7eed915d74e6228e29
489717,773d5591-8607-4ca6-b0d2-cc04101592fa,5a7f2e7bed915d74e33f4d5a
489719,4d7a957c-e950-4ace-8191-1a9de1023db5,5a74c6ae40f0b619c865a58e
489719,4d7a957c-e950-4ace-8191-1a9de1023db5,5a74c6aee5274a3f93b48b7c
489720,73a769f4-7c11-4d51-85bc-bf727e8a5505,5a7f24baed915d74e33f49a1
489720,73a769f4-7c11-4d51-85bc-bf727e8a5505,5a7f24ba40f0b6230268db3a
609077,a1157a96-3147-4720-b5b7-76aecf89dc07,5a82334de5274a2e87dc1ab6
677860,20623722-6635-46c1-9ae9-25fd76d683fc,5a81e1eae5274a2e8ab56555
677860,20623722-6635-46c1-9ae9-25fd76d683fc,5a81e1eaed915d74e6234a01
683679,7d22c7ec-285b-4e29-9a35-8d6a07d44477,5a93e116ed915d57d1335860
683679,7d22c7ec-285b-4e29-9a35-8d6a07d44477,5a93e11640f0b67aa508795c
702634,d734fcdd-e2d4-4afc-861f-4b8a61a126d6,5ae07cc440f0b60aa2374ddc
702634,d734fcdd-e2d4-4afc-861f-4b8a61a126d6,5ae07cc4ed915d0ba9289576
345545,69026d78-1347-4344-9f5f-c7f004dcbf7d,5a7ef185ed915d74e622774c
345545,69026d78-1347-4344-9f5f-c7f004dcbf7d,5a7ef184e5274a2e87db2e06
546710,d50aaa3d-f90e-4266-bae8-4200cd327c8f,5a7f737f40f0b62305b87397
546710,d50aaa3d-f90e-4266-bae8-4200cd327c8f,5a7f738040f0b6230268f930
733675,b5aceec0-de16-4577-9670-a353e39d197a,5b72a800e5274a1cf4908693
733675,b5aceec0-de16-4577-9670-a353e39d197a,5b72a80040f0b6138c753f2b
770090,d56008a5-3427-4340-ac3d-24c0f04b6827,5c361143ed915d7306763bf7
770090,d56008a5-3427-4340-ac3d-24c0f04b6827,5c361143ed915d73360e2d81
771829,fef25d13-d369-47c1-a361-b3a272e565b5,5c40a5afed915d389a2a9d01
771829,fef25d13-d369-47c1-a361-b3a272e565b5,5c40a5af40f0b617273a9240
800773,244b012e-a0f3-488a-ad69-79e1e02178df,5cd42956e5274a3fd1ed42b9
800773,244b012e-a0f3-488a-ad69-79e1e02178df,5cd42956ed915d5c827651d3
798912,dacd0392-64a9-42ff-941c-d9c0d28bf5f6,5cc8660ce5274a1ac3918294
798912,dacd0392-64a9-42ff-941c-d9c0d28bf5f6,5cc8660ced915d5dcb574bbe
798913,fa72c22d-36f0-4019-993a-87f19064dd52,5cc86622e5274a1acc991e67
