ignorestatus,old_url,title,summary,body,publication_type,policy_1,organisation,ignoredate,publication_date,urn,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title
new,http://www.dft.gov.uk/foi/dsa-ia003401,Approved training body bookings at Perth,,Approved training body (ATB) bookings at Perth LGV driving test centre and ATB booking procedures.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0034012,http://assets.dft.gov.uk/foi/dsa-ia0034012/dsa-ia0034012a.pdf,"Approved training body (ATB) bookings at Perth LGV driving test centre and ATB booking procedures. (PDF, 12KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003431,Car hazard perception tests conducted and passed by attempt in 2011/12,,The number of car hazard perception tests conducted and passed by attempt in 2011/12.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0034312,http://assets.dft.gov.uk/foi/dsa-ia0034312/dsa-ia0034312a.pdf,"The number of car hazard perception tests conducted and passed by attempt in 2011/12. (PDF, 16KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003541,Driving tests cancelled due to industrial action,,The number of practical tests that were cancelled due to the industrial action on 10 May 2012 and how much this has cost the Agency.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0035412,http://assets.dft.gov.uk/foi/dsa-ia0035412/dsa-ia0035412a.pdf,"The number of practical tests that were cancelled due to the industrial action on 10 May 2012 and how much this has cost the Agency. (PDF, 12KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003581,Compulsory basic training and direct access scheme assessment guidance,,Compulsory basic training (CBT) and direct access scheme (DAS) assessment guidance.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0035812,http://assets.dft.gov.uk/foi/dsa-ia0035812/dsa-ia0035812a.pdf,"Compulsory basic training (CBT) and direct access scheme (DAS) assessment guidance. (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0035812/dsa-ia0035812b.pdf,"Freedom of Information Act – section 21 (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0035812/dsa-ia0035812c.pdf,"CBT and DAS assessment for motorcycle instructors information pack. (PDF, 106KB)",http://assets.dft.gov.uk/foi/dsa-ia0035812/dsa-ia0035812d.pdf,"Daily progress reports. (PDF, 55KB)",,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia0036712,The line management chain for driving examiners,,The line management chain for driving examiners,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0036712,http://assets.dft.gov.uk/foi/dsa-ia0036712/dsa-ia0036712a.pdf,"Details of the examiner line management chain (PDF, 38KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003681,Theory tests conducted with a voiceover or translator,,The number of theory tests conducted with a voiceover or translator in 2009/10 and 2010/11,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0036812,http://assets.dft.gov.uk/foi/dsa-ia0036812/dsa-ia0036812a.pdf,"Questions and answers about the number of theory tests conducted with a voiceover or translator (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0036812/dsa-ia0036812b.pdf,"Table showing the number of voiceovers (PDF, 10KB)",http://assets.dft.gov.uk/foi/dsa-ia0036812/dsa-ia0036812c.pdf,"Table showing the number of translators (PDF, 10KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003691,Waiting Times for Practical and Theory Tests in Wales and the Number of Examiners,,Waiting Times for Practical and Theory Tests in Wales and the Number of Examiners,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0036912,http://assets.dft.gov.uk/foi/dsa-ia0036912/dsa-ia0036912a.pdf,"Questions and answers about waiting time in Wales and examiners (PDF, 24KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003721,Practical test refund questions,,Practical test refund questions,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0037212,http://assets.dft.gov.uk/foi/dsa-ia0037212/dsa-ia0037212a.pdf,"Questions and answers about refunds (PDF, 14KB)",http://assets.dft.gov.uk/foi/dsa-ia0037212/dsa-ia0037212b.pdf,"Section 21 exemption (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0037212/dsa-ia0037212c.pdf,"Section 12 exemption (PDF, 11KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003741,Line Management Chain for Driving Examiners,,Line Management Chain for Driving Examiners,foi-releases,making-roads-safer,driving-standards-agency,2019-10-18,18-Oct-2019,ia0037412,http://assets.dft.gov.uk/foi/dsa-ia0037412/dsa-ia0037412a.pdf,"Line management chain for examiners (PDF, 37KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003812,The cost of the introduction of a new voiceover into the theory test,,The cost of the introduction of a new voiceover into the theory test,foi-releases,making-roads-safer,driving-standards-agency,2012-10-18,18-Oct-2012,ia0038012,http://assets.dft.gov.uk/foi/dsa-ia0038012/dsa-ia0038012a.pdf,"Question and answer about the costs associated with a new voiceover language (PDF, 16KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003831,The Youngest Approved Motorcycle Instructor,,The Youngest Approved Motorcycle Instructor,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0038312,http://assets.dft.gov.uk/foi/dsa-ia0038312/dsa-ia0038312a.pdf,"The youngest instructor (PDF, 11KB)",,,,,,,,,,,,,,,,
