old_url,title,body,publication_type,policy_1,policy_2,policy_3,organisation,document_series,ignore date,publication_date,ignore source,ignore disclosure,json_attachment,ignore note
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/erdfpenalties/index.html,Penalties imposed for breaches of European Regional Development Fund (ERDF) requirements,"Request: Information concerning the nature of financial penalties imposed for breaches of ERDF requirements regarding publicity of the EU flag and plaques.

Disclosure: Communities and Local Government has provided information about the nature of the breaches of requirements and the financial penalties imposed relating to EU regulations governing the displaying of the EU flag and plaques for projects funded by ERDF.",foi-releases,,,,department-for-communities-and-local-government,,9-Aug-2010,9-Aug-2010,Information concerning the nature of financial penalties imposed for breaches of ERDF requirements regarding publicity of the EU flag and plaques.,Communities and Local Government has provided information about the nature of the breaches of requirements and the financial penalties imposed relating to EU regulations governing the displaying of the EU flag and plaques for projects funded by ERDF.,"[{""text"": ""Penalties imposed for breaches of European Regional Development Fund (ERDF) requirements"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1683897.pdf""}, {""text"": ""Penalties imposed for breaches of European Regional Development Fund (ERDF) requirements"", ""link"": ""http://www.communities.gov.uk/documents/corporate/doc/1683901.doc""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/enforcementnotices/index.html,Enforcement notices issued by the Crown Premises Inspection Group,"Request: For information relating to Crown enforcement notices issued under the Regulatory Reform (Fire Safety) Order 2005 between 1 October 2006 and 7 June 2010.

Disclosure: Communities and Local Government has made a partial disclosure of information relating to all relevant enforcement notices that were issued by the Crown Premises Inspection Group during the stated period.",foi-releases,,,,department-for-communities-and-local-government,,2-Aug-2010,2-Aug-2010,For information relating to Crown enforcement notices issued under the Regulatory Reform (Fire Safety) Order 2005 between 1 October 2006 and 7 June 2010.,Communities and Local Government has made a partial disclosure of information relating to all relevant enforcement notices that were issued by the Crown Premises Inspection Group during the stated period.,"[{""text"": ""Response - Enforcement notices issued by the Crown Premises Inspection Group"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687608.pdf""}, {""text"": ""Enforcement notice 1115-092-01"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687631.pdf""}, {""text"": ""Enforcement notice 1125-022-01"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687634.pdf""}, {""text"": ""Enforcement notice 1203-011-01"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687637.pdf""}, {""text"": ""Enforcement notice 2118-014-01"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687640.pdf""}, {""text"": ""Enforcement notice 2401-021-01(1)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687645.pdf""}, {""text"": ""Enforcement notice 2401-021-01(2)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687653.pdf""}, {""text"": ""Enforcement notice 2603-020-01(1)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687657.pdf""}, {""text"": ""Enforcement notice 2603-020-01(2)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687661.pdf""}, {""text"": ""Enforcement notice 3812-801-01"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687668.pdf""}, {""text"": ""Enforcement notice 4508-017-01"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687678.pdf""}, {""text"": ""Enforcement notice 4616-800-01(1)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687684.pdf""}, {""text"": ""Enforcement notice 4703-800-01"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687688.pdf""}, {""text"": ""Enforcement notice 5105-6713"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687695.pdf""}, {""text"": ""Enforcement notice 5916-055-01"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687698.pdf""}, {""text"": ""Enforcement notice 6216-6889"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687701.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/equalityimpact/index.html,Equality impact assessments,"Request: Equality Impact Assessments undertaken to support proposals for budget reductions in 2010-11

Disclosure: Communities and Local Government has released information about the Department's consideration of equalities issues in relation to budget reductions.",foi-releases,,,,department-for-communities-and-local-government,,30-Jul-2010,30-Jul-2010,Equality Impact Assessments undertaken to support proposals for budget reductions in 2010-11,Communities and Local Government has released information about the Department's consideration of equalities issues in relation to budget reductions.,"[{""text"": ""Response - Equality Impact Assessments"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687470.pdf""}, {""text"": ""Equality Impact Screening Assessment - Working Neighbourhoods Fund"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687484.pdf""}, {""text"": ""Equality Issues Annex"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1687514.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/estatesefficiency/index.html,Estates efficiency programme,"Request: Information concerning CLG's central London estate reduction programme.

Disclosure: Communities and Local Government has released information about the savings arising from the reduction of its estate and related expenditures.",foi-releases,,,,department-for-communities-and-local-government,,26-Jul-2010,26-Jul-2010,Information concerning CLG's central London estate reduction programme.,Communities and Local Government has released information about the savings arising from the reduction of its estate and related expenditures.,"[{""text"": ""Estates efficiency programme"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1650593.pdf""}, {""text"": ""Estates efficiency programme"", ""link"": ""http://www.communities.gov.uk/documents/corporate/doc/1650596.doc""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/1660791/index.html,Housing Pledge funding,"Request: For information about the extent to which funding is available for elements of the Housing Pledge package

Disclosure: Communities and Local Government has released financial information about the Housing Pledge funding elements announced by the previous administration and the review of its affordability by the Government.",foi-releases,,,,department-for-communities-and-local-government,,14-Jul-2010,14-Jul-2010,For information about the extent to which funding is available for elements of the Housing Pledge package,Communities and Local Government has released financial information about the Housing Pledge funding elements announced by the previous administration and the review of its affordability by the Government.,"[{""text"": ""Response to request for information"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1660741.pdf""}, {""text"": ""Table of overall Housing Pledge funding"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1660774.xls""}, {""text"": ""HM Treasury press notice"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1660759.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/novemberdecembermeetings09/index.html,Meetings between ministers and outside interest groups between November - December 2009,"Request: A list of meetings that have occurred between Ministers in Communities and Local Government and outside interest groups between 27 November and 30 December 2009.

Disclosure: Communities and Local Government has released information about the dates, the parties met and the purpose of meetings held relating to the above request.",foi-releases,,,,department-for-communities-and-local-government,,1 February 2010,1-Feb-2010,A list of meetings that have occurred between Ministers in Communities and Local Government and outside interest groups between 27 November and 30 December 2009.,"Communities and Local Government has released information about the dates, the parties met and the purpose of meetings held relating to the above request.","[{""text"": ""Meetings between Ministers and outside interest groups between November - December 2009"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/12964971.pdf""}, {""text"": ""Meetings between Ministers and outside interest groups between November - December 2009"", ""link"": ""http://www.communities.gov.uk/documents/corporate/doc/12662471.doc""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/january2011/costofawaydays/index.html,Cost of departmental away days,"Request: For information about the cost of away days and team building events.

Disclosure: The Department for Communities and Local Government has released information about a corporate away day for senior civil servants.",foi-releases,,,,department-for-communities-and-local-government,,21-Jan-2011,21-Jan-2011,For information about the cost of away days and team building events.,The Department for Communities and Local Government has released information about a corporate away day for senior civil servants.,"[{""text"": ""Response: Cost of Departmental away days"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1899449.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/february2011/promotionalservices/index.html,Promotional services,"Request: For information about Promotional Services

Disclosure: The Department for Communities and Local Government has released information about promotional items purchased through COI (Central Office of Information) from 2006 to 2010.",foi-releases,,,,department-for-communities-and-local-government,,24-Feb-2011,24-Feb-2011,For information about Promotional Services,The Department for Communities and Local Government has released information about promotional items purchased through COI (Central Office of Information) from 2006 to 2010.,"[{""text"": ""Response: Promotional Services"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1898813.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/february2011/celebritiescampaigns/index.html,Department of Communities and Local Government use of celebrities in campaigns or adverts,"Request: For information about the Departmental use of celebrities in campaigns or adverts

Disclosure: The Department for Communities and Local Government has released information about use of celebrities on the Fire Kills safety campaign and cost.",foi-releases,,,,department-for-communities-and-local-government,,3-Feb-2011,3-Feb-2011,For information about the Departmental use of celebrities in campaigns or adverts,The Department for Communities and Local Government has released information about use of celebrities on the Fire Kills safety campaign and cost.,"[{""text"": ""Response: Departmental use of celebrities in campaigns or adverts"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1898875.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/march2011/tradeunionactivities/index.html,Trade union activities,"Request: For information about the funding of trade union activities

Disclosure: The Department for Communities and Local Government has released information about the trade unions officially recognised by the Department, payment of salaries and costs for staff undertaking union activities and facility time granted to staff.",foi-releases,,,,department-for-communities-and-local-government,,3-Mar-2011,3-Mar-2011,For information about the funding of trade union activities,"The Department for Communities and Local Government has released information about the trade unions officially recognised by the Department, payment of salaries and costs for staff undertaking union activities and facility time granted to staff.","[{""text"": ""Response: Funding of trade union activities"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1898816.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/march2011/dclgstaffsalaries/index.html,"Department of Communities and Local Government staff salaries over £100,000 per annum","Request: Freedom of information request for names, position and salaries of staff employed in the DCLG earning over £100,000 per annum and those who have had pay cuts from their salaries and allowances.

Disclosure: The Department for Communities and Local Government has released information about accessing SCS Pay Band 1 information through the Departmental website and information regarding voluntary pay cuts.",foi-releases,,,,department-for-communities-and-local-government,,2-Mar-2011,2-Mar-2011,"Freedom of information request for names, position and salaries of staff employed in the DCLG earning over £100,000 per annum and those who have had pay cuts from their salaries and allowances.",The Department for Communities and Local Government has released information about accessing SCS Pay Band 1 information through the Departmental website and information regarding voluntary pay cuts.,"[{""text"": ""Response: Department of Communities and Local Government Staff Salaries over \u00a3100,000 per annum"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1898819.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/april2011/scientology/index.html,Church of Scientology,"Request: For a copy of e-mails between Ministers and special advisers in the Department for Communities and Local Government and Westminster City Council on the Council's decision to grant discretionary rate relief to the Church of Scientology in Westminster.

Disclosure: The Department for Communities and Local Government does not hold information falling within the terms of the request, but has released a relevant letter on the subject.",foi-releases,,,,department-for-communities-and-local-government,,1-Apr-2011,1-Apr-2011,For a copy of e-mails between Ministers and special advisers in the Department for Communities and Local Government and Westminster City Council on the Council's decision to grant discretionary rate relief to the Church of Scientology in Westminster.,"The Department for Communities and Local Government does not hold information falling within the terms of the request, but has released a relevant letter on the subject.","[{""text"": ""Response: Church of Scientology"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1944880.pdf""}, {""text"": ""Response: Church of Scientology - letter from Bob Neill to Councillor J Dixon"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1944283.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/april2011/conductministersadvisers/index.html,"Conduct of ministers, special advisers and senior civil servants","Request: For information since May 2010 about: the performance and conduct of special advisers; any disciplinary matters concerning Ministers, special advisers or senior civil servants; any briefings made to the media regarding the Electoral Commission chair Jenny Watson; any expenditure on political matters; and requests from civil servants for Ministerial directions.

Disclosure: The Department for Communities and Local Government has provided a ""nil"" response and confirmed that the Department does not hold any information falling within the terms of the request.",foi-releases,,,,department-for-communities-and-local-government,,5-Apr-2011,5-Apr-2011,"For information since May 2010 about: the performance and conduct of special advisers; any disciplinary matters concerning Ministers, special advisers or senior civil servants; any briefings made to the media regarding the Electoral Commission chair Jenny Watson; any expenditure on political matters; and requests from civil servants for Ministerial directions.","The Department for Communities and Local Government has provided a ""nil"" response and confirmed that the Department does not hold any information falling within the terms of the request.","[{""text"": ""Response: Conduct of Ministers, special advisers and senior civil servants"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1898949.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/may2011/externalconsultants/index.html,External consultants,"Request: For information about the Department's expenditure on external consultants in the financial year 2010/11.

Disclosure: The Department for Communities and Local Government has released information about the total expenditure on external consultants in the financial year 2010/11 and the highest daily rate paid to a consultancy firm.",foi-releases,,,,department-for-communities-and-local-government,,23-May-2011,23-May-2011,For information about the Department's expenditure on external consultants in the financial year 2010/11.,The Department for Communities and Local Government has released information about the total expenditure on external consultants in the financial year 2010/11 and the highest daily rate paid to a consultancy firm.,"[{""text"": ""Response: External consultants"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1962794.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/may2011/spendingdatacorrespondence/index.html,Publication of spending data by local authorities,"Request: For copies of all correspondence between the Department for Communities and Local Government and local authorities relating to the requirement for councils to publish details of expenditure above £500

Disclosure: The Department for Communities and Local Government has released copies of some relevant correspondence.",foi-releases,,,,department-for-communities-and-local-government,,24-May-2011,24-May-2011,For copies of all correspondence between the Department for Communities and Local Government and local authorities relating to the requirement for councils to publish details of expenditure above £500,The Department for Communities and Local Government has released copies of some relevant correspondence.,"[{""text"": ""Response: Publication of spending data by local authorities"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914944.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - Index by date and local authority"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1914953.xls""}, {""text"": ""Response: Publication of spending data by local authorities - part 1"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914872.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - part 2"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914885.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - part 3"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914888.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - part 4"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914895.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - part 5"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914918.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - part 6"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914924.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - part 7"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914932.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - part 8"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914935.pdf""}, {""text"": ""Response: Publication of spending data by local authorities - part 9"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1914938.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/may2011/businessrates/index.html,Business rates and Revenue Support Grant,"Request: For information about business rates contributed by and redistributed to local authorities, and the amount of Revenue Support Grant paid to local authorities.

Disclosure: The Department for Communities and Local Government has released information about the amount of business rates contributed to the pool by each local authority in each year from 2000-01 to 2009-10; and the amount of redistributed business rates and Revenue Support Grant provided to each local authority in each year from 2000-01 to 2011-12.",foi-releases,,,,department-for-communities-and-local-government,,24-May-2011,24-May-2011,"For information about business rates contributed by and redistributed to local authorities, and the amount of Revenue Support Grant paid to local authorities.",The Department for Communities and Local Government has released information about the amount of business rates contributed to the pool by each local authority in each year from 2000-01 to 2009-10; and the amount of redistributed business rates and Revenue Support Grant provided to each local authority in each year from 2000-01 to 2011-12.,"[{""text"": ""Response: Business rates and Revenue Support Grant"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1964339.pdf""}, {""text"": ""Amount contributed to National non-domestic rates pool by individual local authorities in England"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1964448.xls""}, {""text"": ""Redistributed Business Rates"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1964461.xls""}, {""text"": ""Revenue Support Grant"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1964479.xls""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/may2011/gpc200811/index.html,Government Procurement Cards - 2008 to 2011,"Request: For details of all spending on government credit cards by civil servants in the Department over the last three years.

Disclosure: The Department for Communities and Local Government has released information about transactions made using Government Procurement Cards for the period asked about.",foi-releases,,,,department-for-communities-and-local-government,,31-May-2011,31-May-2011,For details of all spending on government credit cards by civil servants in the Department over the last three years.,The Department for Communities and Local Government has released information about transactions made using Government Procurement Cards for the period asked about.,"[{""text"": ""Response: Government Procurement Cards - 2008-2011"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1913650.pdf""}, {""text"": ""Response: Government Procurement Cards - 2008-2011 - List of transactions"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1913657.xls""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/may2011/gpcmay2011/index.html,Government Procurement Card - 2010 to 2011,"Request: For copies of all statements for credit cards held on behalf of the Department since 1 April 2010.

Disclosure: The Department for Communities and Local Government has released information about transactions made using GPCs for the period asked about.",foi-releases,,,,department-for-communities-and-local-government,,20-May-2011,20-May-2011,For copies of all statements for credit cards held on behalf of the Department since 1 April 2010.,The Department for Communities and Local Government has released information about transactions made using GPCs for the period asked about.,"[{""text"": ""Response: Government Procurement Card"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1907826.pdf""}, {""text"": ""Response: Government Procurement Card"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1907861.xls""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/jun2011/visits/index.html,Visits to and meetings with local authorities and visits to civil society organisations,"Request: For details of Ministers' visits to and meetings with local authorities, and visits to civil society organisations, between May 2010 and March 2011.

Disclosure: The Department for Communities and Local Government has released information about the date, location and purpose of visits and meetings for the period asked about.",foi-releases,,,,department-for-communities-and-local-government,,3-Jun-2011,3-Jun-2011,"For details of Ministers' visits to and meetings with local authorities, and visits to civil society organisations, between May 2010 and March 2011.","The Department for Communities and Local Government has released information about the date, location and purpose of visits and meetings for the period asked about.","[{""text"": ""Response: Visits to and meetings with local authorities"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1918133.xls""}, {""text"": ""Response: Visits to civil society organisations"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1918137.xls""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/jun2011/communitybudgets150611/index.html,Community Budgets,"Disclosure: The Department for Communities and Local Government has released copies of the agendas, minutes and others papers for these meetings.",foi-releases,,,,department-for-communities-and-local-government,,15 June 2011.,15-Jun-2011,,"The Department for Communities and Local Government has released copies of the agendas, minutes and others papers for these meetings.","[{""text"": ""Response: Community Budgets, 15 June 2011"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1971217.pdf""}, {""text"": ""Response: Community Budgets meeting papers"", ""link"": ""http://www.communities.gov.uk/documents/corporate/zip/1971222.zip""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/jun2011/countyflags/index.html,County flags and meetings with English council leaders,"Disclosure: The Department for Communities and Local Government has released information about the expenditure incurred in flying county flags, and referred to published information about meetings that have taken place with English council leaders.",foi-releases,,,,department-for-communities-and-local-government,,16 June 2011.,16-Jun-2011,,"The Department for Communities and Local Government has released information about the expenditure incurred in flying county flags, and referred to published information about meetings that have taken place with English council leaders.","[{""text"": ""Response: County flags and meetings with English council leaders"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1945242.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/jun2011/laexpenditureover500/index.html,Local authority expenditure above £500,"Request: For copies of any internal documents, reports and memos that relate to issues involving the Department's requirement for councils to publish details of expenditure above £500.

Disclosure: The Department for Communities and Local Government has released relevant monitoring data and has partially disclosed information contained in relevant e-mails and documents.",foi-releases,,,,department-for-communities-and-local-government,,,24-Jun-2011,"For copies of any internal documents, reports and memos that relate to issues involving the Department's requirement for councils to publish details of expenditure above £500.",The Department for Communities and Local Government has released relevant monitoring data and has partially disclosed information contained in relevant e-mails and documents.,"[{""text"": ""Local authority expenditure above \u00a3500: Response"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1931146.pdf""}, {""text"": ""Local authority expenditure above \u00a3500: email correspondence"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1931037.pdf""}, {""text"": ""Local authority expenditure above \u00a3500: documents"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1931040.pdf""}, {""text"": ""Local authority expenditure above \u00a3500: 100901 council expenditure monitoring"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931057.xls""}, {""text"": ""Local authority expenditure above \u00a3500: 100907 Handout for SRP meeting with Number 10"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931060.xls""}, {""text"": ""Local authority expenditure above \u00a3500: 100908 council expenditure monitoring"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931064.xls""}, {""text"": ""Local authority expenditure above \u00a3500: 100916 CLG list of LAs publishing spend and other data"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931071.xls""}, {""text"": ""Local authority expenditure above \u00a3500: 100916 council expenditure monitoring"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931076.xls""}, {""text"": ""Local authority expenditure above \u00a3500: 100923 council expenditure monitoring"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931081.xls""}, {""text"": ""Local authority expenditure above \u00a3500: 100929 council expenditure monitoring"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931090.xls""}, {""text"": ""Local authority expenditure above \u00a3500: 110118 LA analysis"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931114.xls""}, {""text"": ""Local authority expenditure above \u00a3500: Spreadsheet Oct 2010 to Feb 2011"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1931132.xls""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/jul2011/gpcguidance/index.html,Government Procurement Card (GPC) guidance,"Request: For a copy of all GPC statements since May 2009; a list of issued cards, where they are kept and who is authorised to use each card; and a copy of guidance issued to staff governing the use of GPCs.

Disclosure: The Department for Communities and Local Government has provided information about the number of GPCs currently issued and the guidance governing their use. Details of the Department's spending on GPCs since April 2008 can be found in the Disclosure Log for May 2011.",foi-releases,,,,department-for-communities-and-local-government,,5-Jul-2011,5-Jul-2011,"For a copy of all GPC statements since May 2009; a list of issued cards, where they are kept and who is authorised to use each card; and a copy of guidance issued to staff governing the use of GPCs.",The Department for Communities and Local Government has provided information about the number of GPCs currently issued and the guidance governing their use. Details of the Department's spending on GPCs since April 2008 can be found in the Disclosure Log for May 2011.,"[{""text"": ""Response: Goverment Procurement Card (GPC)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1944312.pdf""}, {""text"": ""Response: GPC Cardholders' Manual"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1944299.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/jul2011/preventfunding/index.html,Prevent funding,"Request: For information about funding provided to organisations under the Preventing Violent Extremism strategy

Disclosure: The Department for Communities and Local Government has released information about the organisations that received Prevent funding in each of the financial years 2007-08 to 2010-11 and the amount of funding provided.",foi-releases,,,,department-for-communities-and-local-government,,7-Jul-2011,7-Jul-2011,For information about funding provided to organisations under the Preventing Violent Extremism strategy,The Department for Communities and Local Government has released information about the organisations that received Prevent funding in each of the financial years 2007-08 to 2010-11 and the amount of funding provided.,"[{""text"": ""Response: Prevent funding"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1942851.pdf""}, {""text"": ""Response: Prevent funding - Annex A 2007-8"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1942854.pdf""}, {""text"": ""Response: Prevent funding - Annex B 2008-9"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1942857.pdf""}, {""text"": ""Response: Prevent funding - Annex C 2009-10"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1942860.pdf""}, {""text"": ""Response: Prevent funding - Annex D 2010-11"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1942863.pdf""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/jul2011/gpc20062011/index.html,Government Procurement Card (GPC),"Request: For information about GPC transactions data.

Disclosure: The Department for Communities and Local Government has released information about GPC transactions, for the financial years 2006-07 to 2010-11, for the central Department, Government Office Network and Residential Property Tribunal Service.",foi-releases,,,,department-for-communities-and-local-government,,11 July 2011.,11-Jul-2011,For information about GPC transactions data.,"The Department for Communities and Local Government has released information about GPC transactions, for the financial years 2006-07 to 2010-11, for the central Department, Government Office Network and Residential Property Tribunal Service.","[{""text"": ""Response: Government Procurement Card (GPC)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/194059912.pdf""}, {""text"": ""Request for information: Government Procurement Card (GPC)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1942835.pdf""}, {""text"": ""Response: Government Procurement Card 2006 to 2011 - DCLG transactions"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1940594.xls""}, {""text"": ""Response: Government Procurement Card 2006 to 2011 - Government Office transactions"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1940571.xls""}, {""text"": ""Response: Government Procurement Card 2006 to 2011 - Residential Property Tribunal Service transactions"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1940591.xls""}, {""text"": ""Response: Government Procurement Card 2006 to 2011 - transactions"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1940582.xls""}]",
http://www.communities.gov.uk/corporate/foi/disclosure-log/disclosurelog2011/jul2011/overseastrips/index.html,Overseas trips by ministers,"Request: For information about the locations, dates, officials accompanying and expenses claimed for overseas trips by ministers since May 2010

Disclosure: The Department for Communities and Local Government has released the requested information and provided details of other related available information",foi-releases,,,,department-for-communities-and-local-government,,14-Jul-2011,14-Jul-2011,"For information about the locations, dates, officials accompanying and expenses claimed for overseas trips by ministers since May 2010",The Department for Communities and Local Government has released the requested information and provided details of other related available information,"[{""text"": ""Response: Overseas trips by ministers"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1962768.pdf""}, {""text"": ""Response: Overseas trips by ministers - details of expenses"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1962772.xls""}]",
