Producing organisation(s),First draft created,Edition states,Title,Author(s),Admin URL,Type
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Further education corporation names: guidance on changing existing corporation / college name or developing new names.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5159,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Science and engineering assurance review of the Department for Business, Innovation and Skills.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5160,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Invest in success: London and Thames gateway 2010 - 2011. Facing the future with confidence.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5161,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Department for Business, Innovation and Skills structural reform plan: monthly implementation update - September 2010.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5162,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Union modernisation fund - round 2. Communication Workers Union (CWU): the DEBUT project.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5163,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Union modernisation fund - round 2. General Federation of Trade Union and Connect (GFTU) - a new agenda for equality in the workplace.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5164,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Union modernisation fund - round 2. Union of Construction and Allied Technical Trades (UCATT) - embedding modernisation across the union.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5165,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Science & innovation network report: April 2008 to March 2010. Part I: overview.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5166,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Science & innovation network report: April 2008 to March 2010. Part II: country and regional profiles.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5167,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Vocational qualifications are changing: the latest from the BIS qualification reform team [October 2010].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5168,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Open general export licence (military goods: government or NATO end-use),"Automatic Data Importer, Edwina Osborne",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5170,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Sustainable airports: benefiting from the UK's world-class expertise.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5171,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Grant for business investment [in England, tables 1 & 2]: January - March 2010.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5172,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Starting out: your employment rights and responsibilities.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5173,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Are there changes in the characteristics of UK higher education around the time of the 2006 reforms.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5174,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Assessing the impact of the new student support arrangements (NSSA) on higher education institutions.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5175,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Review of student support arrangements in other countries.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5176,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,The impact of higher education finance on university participation in the UK.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5177,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,The impact of the 2006-07 HE finance reforms on HE participation.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5178,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Securing a sustainable future for higher education: an independent review of higher education funding & student finance [Browne report].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5179,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Delivering for the future: a universal mail service and community post offices in the digital age [Cm 7946].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5180,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Joint statement from BIS, Postcomm and Ofcom:  Postal Services Bill.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5181,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Postal Services Bill - special administration: schedule B1 of the Insolvency Act 1986.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5182,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Postal Services Bill 2010: impact assessment.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5183,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,The Postal Services Bill: myth-busters.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5184,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Small firms consultation database newsletter. September 2010: issue 32.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5185,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,The EU framework programme: call for evidence.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5186,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Environment & water: growing your business overseas.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5187,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,From surviving to thriving: doing business overseas.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5188,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Impact assessment: extending the right to request flexible working to parents of children aged 17.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5189,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,The Design Council: a review by Martin Temple CBE.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5190,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Debt and insolvency ['Managing borrowing and dealing with debt: call for evidence' in plain English].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5191,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Managing borrowing and dealing with debt: call for evidence in support of the consumer credit and personal insolvency review.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5192,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Grant for business investment [in England, tables 1 & 2]: April - June 2010.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5193,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Open general export licence (exports of non-lethal military and dual-use goods: to UK diplomatic missions or consular posts),"Automatic Data Importer, Edwina Osborne",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5194,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Interim evaluation of the national illegal money lending projects.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5195,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Interim evaluation of the national illegal money lending projects: summary.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5196,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Union modernisation fund - round 2. Public and Commercial Services Union (PCS), in conjunction with Wales TUC and Coleg Gwent - mentoring women reps.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5197,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Union modernisation fund - round 2. The First Division Association (FDA) - developing an integrated membership system and website.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5198,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Letter from Vince Cable to all MPs and Peers, dated 13 October 2010: Postal Services Bill 2010.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5200,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Annual small business survey 2007/08 annex.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5201,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Annual small business survey questionnaire 2007/8.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5202,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Export Control Organisation. Customer satisfaction survey 2010: analysis report.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5203,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Government response to the call for evidence on the Consumer Rights Directive: allowing contingent or ancillary charges to be assessed for unfairness.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5204,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Export Control Organisation. Customer satisfaction survey 2010: summary of main findings.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5205,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Manufacturing and materials hot issues: December 2010.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5206,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Manufacturing and materials hot issues: October 2010.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5207,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"BIS FE & skills newsletter. Thursday, 21 October 2010: 33rd edition.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5208,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,National Student Forum: annual report 2010.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5209,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Explanatory text (following the informal consultation of March to May 2010): The Companies Act 2006 (Transfer of Audit Working Papers to Third Countries) Regulations 2010 (SI 21010/2537).,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5210,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Pregnancy and work: what you need to know as an employee. Babies due on or after 3 April 2011.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5211,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Pregnancy and work: what you need to know as an employer. Babies due on or after 3 April 2011.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5212,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,IMI newsletter: October/November 2010.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5213,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Rising to the challenge: positioning UK sports business in the Gulf [executive summary].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5214,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,A long-term focus for corporate Britain: a call for evidence.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5215,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Asia - unlimited opportunities for British business [DVD].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5216,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Living and working in the UK.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5217,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Understanding local growth.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5218,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Local growth: realising every place's potential [HC 7961].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5219,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Summary of responses: consultation on registration of charges created by companies and limited liability partnerships.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5220,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Regional growth fund: Government response to the consultation.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5221,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Backing small business.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5222,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Financing business growth: the GovernmentÂÃÂªs response to 'Financing a private sector recovery'.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5223,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Ministry of Defence (MOD) contacts as listed in open general export licences (OGELs).,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5224,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Building sustainable education: a UK perspective.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5225,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Lightening the load: the regulatory impact on UKÂÃÂªs smallest businesses.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5226,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Final statement by the UK national contact point (NCP) for the OECD guidelines for multinational enterprises: complaint from the IUF against Unilever plc (Doom Dooma factory, Assam, India).",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5227,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Healthy high street? A healthcheck for high streets and town centres.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5228,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Open general export licence (vintage aircraft),"Automatic Data Importer, Edwina Osborne",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5229,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Government response to the Penfold review of non-planning consents.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5230,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,BIS student loan repayment ready reckoner: background note.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5231,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,BIS student loan repayment ready reckoner: model.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5232,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,The Government student and graduate finance proposals.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5233,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Consolidation and simplification of UK consumer law.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5234,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Technology and innovation futures: technology annex.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5235,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Technology and innovation futures: UK growth opportunities for the 2020s.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5236,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Blueprint for technology.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5237,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Trade white paper: call for evidence.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5238,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Business plan 2011-2015: Department for Business, Innovation and Skills.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5239,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,The size and health of the UK space industry: a report for the UK Space Agency. Executive summary.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5240,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,UK business excellence.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5241,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Securing the Post Office network in the digital age.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5242,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Inquiry by the House of Lords Economic Affairs Committee on ÂÃÃ·Auditors: market concentration and their roleÂÃÂª: Government memorandum of evidence.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5243,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Qualitative research into businessesÂÃÂª research and development (R&D) decision-making processes.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5244,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Unison: virtual branches.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5245,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Skills for sustainable growth: strategy document.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5246,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Skills for sustainable growth: strategy document. Executive summary.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5247,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Strategy document: further education - new horizon. Investing in skills for sustainable growth.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5248,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Trade union: USDAW - developing competent and confident managers.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5249,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Skills for sustainable growth and investing in sustainable growth: equality impact assessment.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5250,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Skills for sustainable growth: summary of responses to a consultation on the future direction of skills strategy.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5251,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,The Hearing Aid Council: annual report and accounts for the period ended 31 July 2010 [HC 617].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5252,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"BIS FE & skills newsletter: Thursday, 18 November 2010.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5253,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,A simplified further education and skills funding system and methodology: summary of responses.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5254,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,UK trade performance: patterns in UK and global trade growth.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5255,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Letter from Edward Davey to all MPs and Peers, dated 11 November 2010: Royal Mail pensions.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5256,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Memorandum of understanding for co-operation between the Regulator of Community Interest Companies and the CIC Association CIC.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5257,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Grant for business investment [in England, tables 1 & 2]: July - September 2010.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5258,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Final statement by the UK national contact point (NCP) for the OECD guidelines for multinational enterprises (the guidelines): complaint from Corner House against Airbus S.A.S.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5259,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Final statement by the UK national contact point (NCP) for the OECD guidelines for multinational enterprises (the guidelines): complaint from Corner House against BAE Systems plc.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5260,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Final statement by the UK national contact point (NCP) for the OECD guidelines for multinational enterprises (the guidelines): complaint from Corner House against Rolls-Royce Group PLC.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5261,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Department for Business, Innovation and Skills structural reform plan: monthly implementation update - October 2010.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5262,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Aeroportos sustentÃÃveis: como se beneficiar da competÃÂ»ncia reconhecida mundialmente do Reino Unido.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5263,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,State aid assessment: form to complete.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5264,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,UK innovation survey 2009: statistical annex.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5265,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Employment Agency Standards (EAS) Inspectorate: annual report 2009 - 2010.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5266,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Income payments agreements and income payments orders.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5267,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Review of climate change science advice to Government and Met Office Hadley Centre role, governance and resourcing.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5268,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Review of climate science advice to Government: supporting paper on underpinning high performance computing / supercomputing requirements.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5269,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Economic growth.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5270,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Economic growth: executive summary.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5271,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Estimating the amount of CO2 emissions that the construction industry can influence: supporting material for the low carbon construction IGT report.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5272,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,IGT 2050 Group final report.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5273,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Low carbon construction innovation & growth team: final report.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5274,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Low carbon construction innovation & growth team: final report. Executive summary.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5275,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"The path to strong, sustainable and balanced growth.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5276,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Interim equality impact assessment: urgent reforms to higher education funding and student finance.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5277,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Interim impact assessment: urgent reforms to higher education funding and student finance.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5278,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Pricing practices guide: guidance for traders on good practice in giving information about prices.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5279,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Science and research consultation: budget allocations. Letter to Adrian Smith.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5280,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Vocational qualifications are changing: the latest from the BIS qualification reform team [December 2010].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5281,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Form RP1. Redundancy payments: claim for payments from the national insurance fund.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5282,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,SITPRO Limited report and accounts for the year ended 31 March 2010 [HC 639].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5283,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Terms of reference and explanation of the role of the NCP steering board.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5284,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Use of an aptitude test in university entrance: a validity study.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5285,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Draft Higher Education (Higher Amount) (England) Regulations 2010 [Cm 7986].,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5286,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Digital infrastructure letter from the Council for Science and Technology to Jeremy Hunt and David Willetts.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5287,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Broadband delivery UK theoretical exercise: conclusions and lessons learned.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5288,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Broadband deployment and sharing other utilities' infrastructure: summary of responses to 15 July discussion paper.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5289,Publication
