policies_to_remove,policies_to_add,slug
5e11d7d1-7631-11e4-a3cb-005056011aef,,schools-block-funding-formulae-2014-to-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-ict-selecting-a-school-mis
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-ict-developing-a-statement-of-requirements
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-ict-tendering-hints-and-tips
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-ict-shortened-tendering-procedure
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-ict-contract-management
5e11d7d1-7631-11e4-a3cb-005056011aef,,funding-allocation-pack-2013-to-2014-academic-year
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-microsoft-memorandum-of-understanding
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-ict-high-level-evaluation-criteria
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-purchases-checklists
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-ict-bid-evaluation-scoring-summary
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-microsoft-schools-academic-licensing-overview
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-governance-regulations-2013
5e11d7d1-7631-11e4-a3cb-005056011aef,,authority-proforma-tool-2014-to-2015-user-instructions
5e11d7d1-7631-11e4-a3cb-005056011aef,,appeals-against-admissions-survey-2014-guide
5e11d7d1-7631-11e4-a3cb-005056011aef,,2014-to-2015-schools-block-dataset-technical-specification
5e11d7d1-7631-11e4-a3cb-005056011aef,,2014-to-2015-revenue-funding-arrangements-operational-information-for-local-authorities
5e11d7d1-7631-11e4-a3cb-005056011aef,,schools-block-funding-formulae-2013-to-2014
5e11d7d1-7631-11e4-a3cb-005056011aef,,schools-block-funding-allocations-2013-to-2014
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-exemplar-forms-templates-and-glossary
5e11d7d1-7631-11e4-a3cb-005056011aef,,instructions-for-financial-reporting-on-the-section-251-financial-data-collection-2012-to-2013
5e11d7d1-7631-11e4-a3cb-005056011aef,,performance-points-a-practical-guide-to-key-stage-4-and-5-points
5e11d7d1-7631-11e4-a3cb-005056011aef,,review-of-key-stage-2-testing-assessment-and-accountability-progress-report
5e11d7d1-7631-11e4-a3cb-005056011aef,,establishment-and-governance-of-new-maintained-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,,risk-protection-arrangement-rpa-actuarial-analysis
5e11d7d1-7631-11e4-a3cb-005056011aef,,support-for-better-financial-forecasting-and-management
5e11d7d1-7631-11e4-a3cb-005056011aef,,online-training-for-academy-trusts-completing-financial-returns
5e11d7d1-7631-11e4-a3cb-005056011aef,,setting-research-priorities-in-education-and-childrens-services
5e11d7d1-7631-11e4-a3cb-005056011aef,,department-for-education-statement-on-kings-science-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,sponsored-academies-improvement-in-gcses-outstripping-other-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,,gove-to-the-national-college-we-have-to-make-opportunity-more-equal
5e11d7d1-7631-11e4-a3cb-005056011aef,,cuckoo-hall-academies-trust-letter-from-martin-post
