base_path,status,document_id,edition_id,locale,content_store,errors
/guidance/registering-your-land,200,2440,417742,en,draft-content-store,details body doesn't match
/guidance/gangmasters-licensing-authority,200,2446,508626,en,content-store,should be redirect
/guidance/keeping-horses-on-farms,200,2450,569909,en,content-store,related_guides should contain '5c721198-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/plant-health-controls,200,2453,652944,en,draft-content-store,details body doesn't match
/guidance/plant-health-controls,200,2453,652944,en,content-store,details body doesn't match
/guidance/international-trade-products-and-schemes,200,2455,417737,en,draft-content-store,details body doesn't match
/guidance/international-trade-products-and-schemes,200,2455,417737,en,content-store,details body doesn't match
/guidance/managing-nutrients-and-fertilisers,200,2474,535799,en,draft-content-store,details body doesn't match
/guidance/managing-nutrients-and-fertilisers,200,2474,535799,en,content-store,details body doesn't match
/guidance/water-pollution-from-farming-preventing-and-minimising,404,2477,386611,en,content-store,item is unpublished but there is nothing in the draft content store
/guidance/cattle-health,200,2501,521392,en,content-store,related_guides should contain '5c721198-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/monitoring-prevention-and-control-of-disease-in-sheep-and-goats,200,2503,439228,en,draft-content-store,details body doesn't match
/guidance/monitoring-prevention-and-control-of-disease-in-sheep-and-goats,200,2503,439228,en,content-store,details body doesn't match
/guidance/poultry-health,200,2504,539317,en,draft-content-store,details body doesn't match
/guidance/poultry-health,200,2504,539317,en,content-store,details body doesn't match
/guidance/managing-livestock-veterinary-medicines,200,2514,399170,en,draft-content-store,details body doesn't match
/guidance/cattle-identification-registration-and-movement,200,2518,614105,en,draft-content-store,details body doesn't match
/guidance/cattle-identification-registration-and-movement,200,2518,614105,en,content-store,details body doesn't match
/guidance/pigs-identification-registration-and-movement,200,2519,446191,en,draft-content-store,details body doesn't match
/guidance/sheep-and-goats-identification-registration-and-movement,200,2520,446323,en,draft-content-store,details body doesn't match
/guidance/animal-identification-movement-and-tracing-regulations,200,2521,615132,en,content-store,related_guides should contain '5c721361-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c7213ae-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/national-lists-of-agricultural-and-vegetable-crops,200,2528,654398,en,draft-content-store,details body doesn't match
/guidance/national-lists-of-agricultural-and-vegetable-crops,200,2528,654398,en,content-store,details body doesn't match
/guidance/disease-notification-duties-of-farmers,200,2542,388817,en,draft-content-store,details body doesn't match
/guidance/disease-notification-duties-of-farmers,200,2542,388817,en,content-store,details body doesn't match
/guidance/offshore-renewable-energy-installations-impact-on-shipping,200,4297,653136,en,draft-content-store,details body doesn't match
